A,B,C,D
0.14623030389772204,0.6673232821923853,0.11126851205583571,0.07517790185405686
0.09215005434020773,0.7003065229001441,0.13094168144159565,0.07660174131805249
0.11629181794581432,0.6941474272213621,0.08401688205768486,0.10554387277513855
0.05154399744333586,0.6777069503309996,0.22120679372914037,0.04954225849652417
0.059277799239046115,0.6552916308907943,0.22613462968336254,0.05929594018679708
0.7375094773640323,0.08888038279567421,0.06821065491318098,0.10539948492711267
0.7112469234358184,0.14267324317609675,0.1018165230685813,0.04426331031950349
0.10902785848835277,0.10961015141319376,0.6348234010805395,0.1465385890179141
0.11781872736282042,0.6542279739421778,0.1239589095996285,0.10399438909537323
0.08254988855501315,0.08372914781966803,0.09327765038286893,0.7404433132424499
0.6919435504557975,0.08251313874529977,0.07652500902474078,0.14901830177416203
0.060563796348174534,0.09537959477873319,0.07148732201710445,0.7725692868559879
0.09715642731113164,0.09422464307163603,0.6797612878626182,0.12885764175461412
0.6148052489618188,0.0668500864690741,0.09944046576901773,0.21890419880008935
0.0769824905539684,0.6918919303599551,0.1453857983096297,0.08573978077644684
0.6290828420402869,0.15014714047980265,0.14105252315187006,0.07971749432804055
0.12589096857786772,0.6593860885151793,0.09497638039443362,0.11974656251251929
0.07410806698512228,0.0864757807346319,0.1054409357830455,0.7339752164972003
0.0919861410329376,0.11206129002424069,0.7269401634121945,0.06901240553062711
0.07117727615805511,0.6850728808811846,0.1708137755836498,0.07293606737711042
0.1143705503936521,0.656449457120483,0.10908094564234465,0.12009904684352019
0.08257230868766333,0.07498385415809623,0.11883509192004856,0.7236087452341918
0.07672328839337977,0.7668011514052779,0.0877521313552819,0.0687234288460604
0.18584508245678122,0.11102744401291671,0.06190698477010211,0.6412204887602
0.7332270021972658,0.07520122852010405,0.0674823443742749,0.12408942490835534
0.16751408727022946,0.39701138643209377,0.36032532964517594,0.07514919665250082
0.6682503564162554,0.1113975155795567,0.0957040492591582,0.12464807874502969
0.3468151466184704,0.10208368671197773,0.18016320220191392,0.370937964467638
0.7331954882116262,0.10503529638306444,0.09922029919104179,0.06254891621426767
0.1077920969839148,0.6328598647881009,0.1281196391362489,0.1312283990917354
0.12492207746113573,0.2781284162499058,0.49275196053972337,0.104197545749235
0.08474029031711454,0.09289815261334419,0.7039398462024404,0.1184217108671009
0.16868901104748038,0.6956435640283682,0.07994018612957364,0.05572723879457775
0.1599530370075853,0.34779167717732923,0.3978470458820928,0.09440823993299256
0.07615010778113576,0.07244630406567923,0.12170682493687981,0.7296967632163052
0.11354204480970395,0.12826234687957044,0.12402782499029362,0.634167783320432
0.08490869420634811,0.7012475890690409,0.12000843568274285,0.09383528104186822
0.1318221403833117,0.08449887743353719,0.7136292601949553,0.07004972198819567
0.6413786617820767,0.13463029513763952,0.10766014981925225,0.11633089326103155
0.7257632916670684,0.0825121656386105,0.08000974704937602,0.11171479564494496
0.11659704158550599,0.06363093237567527,0.6897479398222878,0.13002408621653086
0.07590297167422855,0.7491966493679382,0.08489350604111083,0.09000687291672241
0.10731129599736704,0.10194182266841706,0.7150302592522977,0.07571662208191833
0.10607858966294909,0.08301942539414599,0.08216478722919661,0.7287371977137084
0.07341666913202252,0.14841198572563166,0.7066373162145222,0.07153402892782369
0.07533378053477843,0.11370121289939697,0.5463011045273508,0.26466390203847373
0.09324647582129039,0.7463828905196906,0.07804945984233623,0.08232117381668266
0.06646962604871466,0.6673777826264896,0.1887725031246331,0.07738008820016276
0.10725278357102803,0.6918294151388618,0.059789225960213827,0.14112857532989634
0.0997811597362295,0.6277014499208442,0.13136365150953416,0.14115373883339222
0.10966421565871895,0.09599144926631625,0.07649214894382488,0.7178521861311399
0.07198716714340318,0.06785595614638949,0.09257882724517016,0.7675780494650372
0.07769252685585666,0.7427565032787866,0.07651352147070506,0.10303744839465154
0.7136712817011513,0.08152048294744131,0.07440869096781551,0.13039954438359175
0.07566539618929896,0.06747375605604942,0.09861058058132062,0.7582502671733311
0.7589111357410616,0.08852013923004404,0.07887974629947266,0.07368897872942147
0.10778441267896369,0.08995992034684266,0.09246871519754918,0.7097869517766444
0.09612560694842882,0.7155057767515272,0.07799154232899348,0.11037707397105039
0.08884832594936734,0.4989020768513562,0.33345981677492936,0.07878978042434716
0.15385194994389875,0.6557098435814674,0.10448062597289093,0.08595758050174294
0.15521419943265483,0.07161502458080658,0.6761344586051904,0.09703631738134813
0.095105882890205,0.08936761910869316,0.1077071699246714,0.7078193280764306
0.6444818023616761,0.18373755082099433,0.11614744000740958,0.055633206809919934
0.09235169243492869,0.7087600587583142,0.13255873261253664,0.06632951619422053
0.11011088781885357,0.11020682402291972,0.03756661248825052,0.7421156756699762
0.0631519510513828,0.1266972511155155,0.6415811645721423,0.1685696332609594
0.08654309017949606,0.7657492841275402,0.09255418056738761,0.0551534451255762
0.08313791192794533,0.15314539799480908,0.6743454778055953,0.08937121227165018
